activity_date,user_id,value
2023-11-01,97,11836
2023-11-01,36,15616
2023-11-01,52,9912
2023-11-01,48,2925
2023-11-01,17,4884
2023-11-01,8,12510
2023-11-01,31,5465
2023-11-01,44,4858
2023-11-01,28,236
2023-11-01,100,8770
2023-11-01,25,17376
2023-11-01,30,9600
2023-11-01,5,3080
2023-11-01,67,545
2023-11-01,80,9194
2023-11-01,78,6265
2023-11-01,49,12225
2023-11-01,37,34624
2023-11-02,48,6724
2023-11-02,44,9645
2023-11-02,97,10641
2023-11-02,8,4432
2023-11-02,31,5857
2023-11-02,49,15983
2023-11-02,37,17926
2023-11-02,25,13924
2023-11-02,36,11726
2023-11-02,52,14422
2023-11-02,5,2142
2023-11-02,17,3827
2023-11-02,67,861
2023-11-02,78,3951
2023-11-02,26,5989
2023-11-02,30,8523
2023-11-02,100,8520
2023-11-03,97,12364
2023-11-03,52,18875
2023-11-03,25,21288
2023-11-02,28,862
2023-11-03,8,6618
2023-11-03,49,7592
2023-11-03,44,7876
2023-11-03,5,3808
2023-11-03,48,5152
2023-11-01,26,4832
2023-11-03,36,11899
2023-11-03,28,4407
2023-11-03,30,8421
2023-11-03,67,41
2023-11-03,31,7092
2023-11-03,78,2630
2023-11-03,37,28390
2023-11-04,48,11177
2023-11-04,8,7764
2023-11-04,44,7115
2023-11-04,52,15230
2023-11-04,17,6305
2023-11-04,5,60
2023-11-04,31,2830
2023-11-04,49,8429
2023-11-04,28,5891
2023-11-04,36,15223
2023-11-02,80,10020
2023-11-03,100,247
2023-11-04,97,10999
2023-11-04,78,4376
2023-11-04,37,16489
2023-11-04,67,1117
2023-11-04,100,21986
2023-11-05,52,9320
2023-11-05,8,5063
2023-11-05,5,1595
2023-11-03,80,11915
2023-11-04,80,8676
2023-11-05,97,7492
2023-11-05,31,3403
2023-11-05,49,11445
2023-11-05,48,2000
2023-11-05,17,9205
2023-11-01,58,11278
2023-11-03,17,5708
2023-11-05,44,2659
2023-11-04,30,9203
2023-11-05,36,7691
2023-11-05,28,4922
2023-11-05,30,168
2023-11-05,80,8583
2023-11-05,67,336
2023-11-05,78,8993
2023-11-05,26,7404
2023-11-05,37,18714
2023-11-06,97,10417
2023-11-02,58,499
2023-11-04,25,5268
2023-11-05,25,5232
2023-11-06,49,8965
2023-11-06,8,8151
2023-11-06,31,8254
2023-11-06,44,9437
2023-11-06,17,16563
2023-11-06,48,10923
2023-11-06,52,7913
2023-11-06,78,1263
2023-11-06,37,36561
2023-11-06,67,1717
2023-11-06,80,11352
2023-11-06,5,6113
2023-11-06,28,1220
2023-11-06,36,9988
2023-11-06,100,2110
2023-11-06,30,8496
2023-11-06,25,20794
2023-11-07,31,11950
2023-11-07,97,11048
2023-11-07,52,8596
2023-11-07,37,19729
2023-11-07,49,15452
2023-11-07,8,7834
2023-11-07,5,3659
2023-11-07,17,3474
2023-11-01,61,374
2023-11-02,61,481
2023-11-03,26,9323
2023-11-03,61,8
2023-11-04,61,2438
2023-11-04,26,3169
2023-11-05,61,10104
2023-11-06,26,8343
2023-11-06,61,17
2023-11-07,80,11563
2023-11-07,67,2280
2023-11-07,26,4157
2023-11-07,78,5156
2023-11-07,48,3528
2023-11-07,61,14448
2023-11-07,100,4514
2023-11-07,36,12592
2023-11-07,28,1179
2023-11-07,25,27099
2023-11-07,30,9188
2023-11-08,8,12511
2023-11-08,97,12282
2023-11-08,52,8419
2023-11-08,31,11068
2023-11-08,49,12690
2023-11-08,48,12302
2023-11-08,100,6442
2023-11-08,28,1573
2023-11-08,37,31509
2023-11-08,67,1840
2023-11-08,80,11743
2023-11-08,78,2157
2023-11-08,5,7549
2023-11-08,17,6753
2023-11-08,36,15643
2023-11-08,25,25290
2023-11-09,52,13545
2023-11-09,97,12695
2023-11-09,36,14380
2023-11-09,28,843
2023-11-09,8,8953
2023-11-09,49,10084
2023-11-09,37,20773
2023-11-09,17,5464
2023-11-07,44,23251
2023-11-08,26,8417
2023-11-09,61,18144
2023-11-09,100,3506
2023-11-09,25,16211
2023-11-09,78,3655
2023-11-09,31,1822
2023-11-09,67,87
2023-11-09,80,10235
2023-11-09,48,3432
2023-11-09,5,5124
2023-11-10,52,11790
2023-11-10,97,10466
2023-11-08,44,12063
2023-11-09,44,11830
2023-11-10,100,6809
2023-11-10,36,9139
2023-11-10,44,12034
2023-11-10,49,13967
2023-11-10,8,6696
2023-11-10,61,17028
2023-11-10,17,8246
2023-11-10,48,3493
2023-11-10,5,4900
2023-11-08,30,7594
2023-11-09,30,888
2023-11-10,28,4518
2023-11-10,30,1851
2023-11-10,37,25342
